#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
79.126276,0.012472,17.170569,10.842399,10.842399,162.397567
77.848585,0.008026,15.955433,10.926374,10.926374,153.041065
75.960972,0.004639,15.719612,10.245159,10.245159,151.728801
74.824222,0.009874,15.081818,7.527866,7.527866,146.857318
77.194498,0.010466,15.645714,8.145547,8.145547,150.892433
70.275317,0.007125,11.749730,7.434713,7.434713,137.363674
70.429814,0.009201,11.051575,9.042533,9.042533,130.330292
68.055220,0.008900,10.554859,7.266732,7.266732,126.409063
84.593735,0.010404,11.071341,6.416977,6.416977,146.229608
54.606902,0.013667,10.577843,6.931518,6.931518,115.564129
55.639254,0.017844,10.373022,7.154923,7.154923,123.378751
53.084033,0.017559,10.415174,11.833261,11.833261,115.077305
50.260673,0.017780,9.611915,7.989569,7.989569,121.143887
69.243964,0.019896,13.298767,7.756120,7.756120,133.282161
41.533724,0.011822,7.355745,6.062839,6.062839,93.536249
38.491403,0.011154,7.328027,7.127151,7.127151,86.040911
35.938230,0.006181,6.446613,6.047454,6.047454,75.419616
35.137142,0.008809,6.007274,5.293683,5.293683,74.052767
41.584256,0.003780,5.278925,5.711227,5.711227,70.228382
37.340135,0.002498,5.128093,5.769146,5.769146,67.072383
39.757779,0.002747,4.914202,5.646010,5.646010,69.334467
33.499525,0.002416,5.263786,6.160980,6.160980,69.095537
40.145208,0.002718,5.029738,5.508787,5.508787,72.127087
35.865775,0.001984,5.156310,5.794072,5.794072,63.842421
37.877246,0.002533,5.320507,6.142179,6.142179,69.057839
34.252318,0.002031,5.714436,6.584588,6.584588,70.128373
33.771788,0.001939,5.109699,5.964689,5.964689,62.385473
41.984502,0.001759,4.916907,5.519455,5.519455,74.240168
33.462881,0.001813,5.015646,6.215806,6.215806,71.878907
37.148816,0.002762,4.841039,5.813658,5.813658,67.062014
36.493726,0.002125,4.713495,7.103752,7.103752,65.747208
33.964797,0.001572,4.515644,4.100655,4.100655,59.778241
41.769442,0.001833,4.440289,5.398020,5.398020,68.912793
34.581102,0.002000,4.819826,6.034992,6.034992,65.315949
38.037370,0.002092,4.547359,4.330410,4.330410,64.923582
35.478618,0.001434,4.381218,4.437244,4.437244,62.252226
30.914598,0.001829,4.297354,4.545629,4.545629,58.140435
46.335649,0.002801,5.720276,6.219895,6.219895,89.115231
49.479721,0.003046,5.544848,6.245426,6.245426,88.642766
28.669652,0.001576,3.628710,4.158787,4.158787,53.808980
33.199747,0.001446,3.961855,4.222496,4.222496,61.409056
32.710333,0.001934,3.942251,4.256848,4.256848,58.840162
42.375672,0.001877,3.982593,5.022637,5.022637,74.967515
27.988451,0.001867,3.775996,4.156969,4.156969,53.717656
29.068552,0.001595,3.662543,4.234921,4.234921,54.664999
28.222835,0.001864,3.616750,4.234087,4.234087,53.549906
27.802470,0.001610,3.518840,4.036706,4.036706,52.117826
30.129040,0.001269,3.408535,3.975448,3.975448,56.379108
58.903940,0.001591,4.081688,4.063700,4.063700,84.544990
27.422144,0.001659,3.347505,4.107187,4.107187,51.970878
59.360072,0.001887,5.888684,4.451146,4.451146,88.365597
