#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,7.191740,0.000000,0.000000,6.689184,7.494093,0.019755,19.543091
0.000000,0.000000,7.313028,0.000000,0.000000,4.735324,6.646212,0.018258,19.246359
0.000000,0.000000,12.881598,0.000000,0.000000,7.288378,8.625136,0.021789,28.494208
0.000000,0.000000,7.274902,0.000000,0.000000,5.255079,5.769802,0.017823,19.719007
0.000000,0.000000,15.627831,0.000000,0.000000,4.119449,7.013558,0.066978,33.014793
0.000000,0.000000,7.263487,0.000000,0.000000,5.828094,6.633545,0.022026,19.317489
0.000000,0.000000,7.155709,0.000000,0.000000,4.187078,6.058897,0.026073,19.303446
0.000000,0.000000,7.424825,0.000000,0.000000,3.867566,6.190327,0.065495,20.954925
0.000000,0.000000,10.210546,0.000000,0.000000,4.412062,6.129899,0.024856,21.582851
0.000000,0.000000,6.985224,0.000000,0.000000,3.629981,6.013534,0.034600,18.144831
0.000000,0.000000,8.940246,0.000000,0.000000,4.043157,5.253111,0.065763,20.659081
0.000000,0.000000,7.060951,0.000000,0.000000,3.983340,5.447523,0.020123,18.638931
0.000000,0.000000,6.736327,0.000000,0.000000,5.299513,8.253273,0.038291,17.065842
0.000000,0.000000,6.876605,0.000000,0.000000,3.747745,4.766774,0.076007,17.368802
0.000000,0.000000,9.251018,0.000000,0.000000,2.628125,7.566965,0.035315,24.087942
0.000000,0.000000,8.615977,0.000000,0.000000,3.483381,7.190278,0.035421,18.255045
0.000000,0.000000,6.733745,0.000000,0.000000,4.611471,5.110248,0.017782,18.045726
0.000000,0.000000,6.702862,0.000000,0.000000,4.152487,4.557437,0.064761,18.475283
0.000000,0.000000,6.713276,0.000000,0.000000,2.068805,4.204058,0.026164,17.518618
0.000000,0.000000,6.462688,0.000000,0.000000,2.296430,3.934603,0.017349,16.184004
0.000000,0.000000,6.479022,0.000000,0.000000,2.637691,3.667064,0.059794,14.594312
0.000000,0.000000,6.456504,0.000000,0.000000,2.505670,3.653710,0.013354,13.758976
0.000000,0.000000,6.535985,0.000000,0.000000,2.942318,4.152167,0.016667,13.866894
0.000000,0.000000,6.460354,0.000000,0.000000,2.875411,3.791252,0.013680,13.586208
0.000000,0.000000,6.577598,0.000000,0.000000,2.881487,4.173758,0.056843,14.685460
0.000000,0.000000,6.554071,0.000000,0.000000,3.310782,4.824991,0.013645,14.239848
0.000000,0.000000,6.563664,0.000000,0.000000,3.219377,4.498780,0.014581,14.579962
0.000000,0.000000,6.542036,0.000000,0.000000,3.372576,4.962118,0.012607,15.669485
0.000000,0.000000,6.571410,0.000000,0.000000,3.353402,4.755757,0.012794,15.263993
0.000000,0.000000,6.934200,0.000000,0.000000,3.379426,4.805436,0.012431,16.201633
0.000000,0.000000,6.441343,0.000000,0.000000,9.281276,10.233374,0.022604,15.538042
0.000000,0.000000,6.434296,0.000000,0.000000,4.591258,5.811210,0.012394,15.513906
0.000000,0.000000,28.198825,0.000000,0.000000,5.537230,8.163850,0.019309,52.026623
0.000000,0.000000,8.399982,0.000000,0.000000,3.294015,4.891305,0.013229,19.682044
0.000000,0.000000,9.751591,0.000000,0.000000,2.977628,4.918527,0.017242,24.560698
0.000000,0.000000,6.617114,0.000000,0.000000,3.420969,4.662818,0.012964,15.754471
0.000000,0.000000,6.547434,0.000000,0.000000,3.395846,4.878190,0.025043,15.406718
0.000000,0.000000,7.081766,0.000000,0.000000,3.145036,4.759093,0.059095,16.159696
0.000000,0.000000,6.603641,0.000000,0.000000,3.176828,6.251123,0.018110,15.870413
