#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.768909,0.032950,6.356989,3.571899,3.571899,100.223010
5.817206,0.020845,6.545786,3.493379,3.493379,111.727180
5.894143,0.026498,6.666291,6.563423,6.563423,118.866078
5.871223,0.027573,6.732402,4.202610,4.202610,108.329864
5.850214,0.020106,7.110039,4.944441,4.944441,107.558328
6.823516,0.020050,7.318375,3.508688,3.508688,112.500245
6.029625,0.020727,8.076878,5.098801,5.098801,122.764862
5.954091,0.030548,7.410595,3.675148,3.675148,128.896644
8.744244,0.024733,8.000768,6.679976,6.679976,149.740459
5.814460,0.022383,8.276136,4.411545,4.411545,125.459291
5.799113,0.022062,7.569263,4.298553,4.298553,119.087609
6.979160,0.030109,7.517210,3.771570,3.771570,123.446648
8.615502,0.030094,8.134601,3.453788,3.453788,123.033546
5.500442,0.023042,5.516195,6.400095,6.400095,94.514951
5.480282,0.020633,5.881899,3.599309,3.599309,90.152974
5.538308,0.020367,7.409474,3.586366,3.586366,100.525144
5.690358,0.021862,6.164599,3.926649,3.926649,86.984038
5.670654,0.026910,9.032214,6.381451,6.381451,121.327266
5.617236,0.041074,5.789589,4.397981,4.397981,89.625440
5.487794,0.019026,5.967814,3.567199,3.567199,110.494465
6.253558,0.018998,6.607934,4.060350,4.060350,86.220793
5.684905,0.014928,6.637075,5.197407,5.197407,95.916826
5.742977,0.017996,6.730608,5.313889,5.313889,98.447783
5.936571,0.024117,7.201470,7.387610,7.387610,107.584932
5.701907,0.014972,6.896848,5.626207,5.626207,105.326724
5.742851,0.015831,6.982859,4.516410,4.516410,100.228255
7.766960,0.022340,7.392560,5.398282,5.398282,106.960585
5.711734,0.014974,6.947180,4.248394,4.248394,111.291045
8.224741,0.019660,9.062205,4.006015,4.006015,114.221943
5.659285,0.022262,7.334029,5.427016,5.427016,117.206498
5.798427,0.047031,10.504906,4.878714,4.878714,159.682497
6.040377,0.019717,11.928933,5.214673,5.214673,121.075287
5.837454,0.015468,8.771116,5.277110,5.277110,131.310447
5.971725,0.023763,13.877020,5.290909,5.290909,142.118435
9.345346,0.033251,13.767148,8.829143,8.829143,232.608892
9.432298,0.045140,13.796285,5.665428,5.665428,205.552722
6.221049,0.030826,9.448933,5.623722,5.623722,142.455879
6.223200,0.022005,10.111698,6.431613,6.431613,142.414236
6.359823,0.024853,10.771636,6.957565,6.957565,147.571934
6.528807,0.021185,10.951196,8.309879,8.309879,149.672761
6.561198,0.026251,11.926949,6.275668,6.275668,166.613455
6.644733,0.029095,11.460483,6.688817,6.688817,145.942285
6.547655,0.016941,12.621859,6.479061,6.479061,175.680801
8.071636,0.030353,11.080834,7.628381,7.628381,175.003856
6.834641,0.019247,11.458684,5.967053,5.967053,156.019098
6.407106,0.020047,9.754900,5.884928,5.884928,124.502955
5.990732,0.021620,9.285993,7.871928,7.871928,154.596163
6.653379,0.025494,10.689287,9.457302,9.457302,133.302625
6.354867,0.022399,10.361919,6.815210,6.815210,133.463731
8.249957,0.037869,12.395751,7.572072,7.572072,166.215606
6.887486,0.031556,13.269105,11.504863,11.504863,182.032826
6.911551,0.045915,13.236082,12.381481,12.381481,253.514805
7.316411,0.052601,11.943133,8.353686,8.353686,176.554360
6.988911,0.059249,13.974428,7.836309,7.836309,203.587634
6.269982,0.031815,16.879234,8.546461,8.546461,194.777479
6.417530,0.038029,17.931464,8.437525,8.437525,210.198552
6.555617,0.049263,13.800573,8.881315,8.881315,220.521913
6.740588,0.046202,19.768637,8.428888,8.428888,217.374612
6.800659,0.048440,18.626113,11.929439,11.929439,301.250195
6.748705,0.040378,19.714009,10.511450,10.511450,278.948053
6.941507,0.040342,14.681447,9.789972,9.789972,292.925479
7.022152,0.039229,14.664270,10.515571,10.515571,262.530431
6.908499,0.037002,16.576752,11.814828,11.814828,309.216754
6.867076,0.029953,14.874002,10.340548,10.340548,262.213941
7.014153,0.031904,15.275245,10.064733,10.064733,288.281569
7.062633,0.709462,19.342123,10.912393,10.912393,267.711651
6.798765,0.031447,14.789802,10.882797,10.882797,275.302558
6.908586,0.033099,15.171163,15.103332,15.103332,269.147345
6.576339,0.023847,14.491240,14.704225,14.704225,272.447320
7.132410,0.026715,17.136851,10.779671,10.779671,245.009109
16.557438,0.045378,21.615497,11.526626,11.526626,255.332327
6.488075,0.028833,22.696966,11.264851,11.264851,250.195740
6.913066,0.033960,14.325566,13.208788,13.208788,349.976018
6.804898,0.026308,17.919707,12.538457,12.538457,261.625808
7.400515,0.027932,15.570976,20.713586,20.713586,362.887532
8.301547,0.043915,17.530067,27.444050,27.444050,360.531244
8.052450,0.026092,16.285614,22.538209,22.538209,366.478079
8.568404,0.030835,18.162946,23.189784,23.189784,415.184333
8.952571,0.029761,19.496853,21.362355,21.362355,426.419053
12.709711,0.030784,23.514686,30.349079,30.349079,672.900557
7.780645,0.030973,14.992631,22.823532,22.823532,458.737612
23.136882,0.122343,18.743394,23.369241,23.369241,342.936822
7.257917,0.023977,13.130919,24.307241,24.307241,308.386466
7.338202,0.022694,13.416590,22.533500,22.533500,301.631800
7.181217,0.023718,21.130750,28.821948,28.821948,401.384083
7.323138,0.029525,14.995039,20.529843,20.529843,331.843224
7.048280,0.028564,11.987789,25.084486,25.084486,290.202062
6.955534,0.021484,12.018878,20.917020,20.917020,301.735594
7.007420,0.027930,13.183487,25.231131,25.231131,289.800888
7.885518,0.027292,13.308589,21.964727,21.964727,262.303165
6.835564,0.019624,11.648862,14.880735,14.880735,208.055713
6.261504,0.019625,10.949814,18.284065,18.284065,218.259902
6.032200,0.013463,10.078142,11.731788,11.731788,210.644352
6.264355,0.013883,10.604676,12.430491,12.430491,215.757695
6.434414,0.039381,14.126871,11.595254,11.595254,205.962944
6.467150,0.022697,11.693260,12.464810,12.464810,219.986684
6.658508,0.025275,12.454381,14.850139,14.850139,241.135555
6.572708,0.028218,16.040316,15.168692,15.168692,242.310349
9.052655,0.031145,15.780664,19.501886,19.501886,293.856467
7.176084,0.030761,13.816369,17.188738,17.188738,271.434008
9.278239,0.047746,14.118217,14.001350,14.001350,247.354837
7.050294,0.025810,16.034346,16.350868,16.350868,244.560050
7.242113,0.021785,13.787863,17.756489,17.756489,252.905851
7.123978,0.027707,17.848197,18.504930,18.504930,250.947509
7.105769,0.023394,13.743225,16.770794,16.770794,297.387998
7.084406,0.022982,14.540923,21.297192,21.297192,307.888685
6.980514,0.029773,15.647440,17.755776,17.755776,269.370304
7.511589,0.026942,19.551252,16.213285,16.213285,262.594826
7.488809,0.027160,14.933414,14.564339,14.564339,280.897868
7.705549,0.026428,14.984433,17.440662,17.440662,276.645454
7.095568,0.028263,13.634438,12.299850,12.299850,271.882273
7.804239,0.026317,18.692427,11.150080,11.150080,274.326699
7.423629,0.027765,15.036190,15.543242,15.543242,258.977440
7.431462,0.030574,14.619800,11.099255,11.099255,263.514300
7.760293,0.028922,19.245191,16.487397,16.487397,270.607716
10.324672,0.037629,14.933430,20.661669,20.661669,290.117868
7.703926,0.020814,15.428674,16.111570,16.111570,317.193649
7.683373,0.022417,16.427167,26.898040,26.898040,328.126493
7.766742,0.024833,14.517597,22.397854,22.397854,321.806661
7.459039,0.021954,15.640650,25.649258,25.649258,312.953279
7.534865,0.023656,13.607739,25.607289,25.607289,285.337815
7.534547,0.018546,13.763058,19.288181,19.288181,280.728407
7.466427,0.026593,13.987363,17.556687,17.556687,289.071860
11.413553,0.028709,20.222856,22.554221,22.554221,335.307501
7.669919,0.027748,13.450578,17.556363,17.556363,298.974585
7.423685,0.022880,12.462520,18.607773,18.607773,288.347262
7.626202,0.018250,12.677996,18.606129,18.606129,290.595492
7.241700,0.017224,12.011866,19.777030,19.777030,305.632228
6.506027,0.019595,11.389738,20.276406,20.276406,251.531924
6.747386,0.017196,10.205628,19.696158,19.696158,224.791601
6.699391,0.015151,10.322261,21.352840,21.352840,257.135611
7.025127,0.019914,11.194341,17.768819,17.768819,260.548793
